model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
A1-Legacy-Once,all,local_suffix_2,seen,12,4875,406.25,0.8578419846327936,0.056802426913371805,0.8197910705252727,0.040658248340338,0.8569568527210253,0.05640416748819895
A1-Legacy-Once,all,local_suffix_2,unseen,12,192,16.0,0.7433307433307433,0.07006108243763373,0.7938135938135938,0.10313130076026754,0.7433307433307433,0.07006108243763373
A1-Legacy-Once,all,local_prefix_3,insufficient,12,927,77.25,0.8852314814814815,0.06745803797467316,0.8605593693496866,0.06579386666222936,0.8852314814814815,0.06745803797467316
A1-Legacy-Once,all,local_prefix_3,seen,12,4356,363.0,0.8566510385433136,0.06047451316517839,0.8086734531244014,0.05010896637455997,0.8556965418234022,0.06009164389857402
A1-Legacy-Once,all,local_prefix_3,unseen,12,402,33.5,0.7679494171939439,0.061451260390609656,0.7700429894179894,0.08862038215002448,0.7679494171939439,0.061451260390609656
A1-Legacy-Once,all,history_length,0,12,309,25.75,0.8495833333333334,0.10725718407339214,0.7874090409110504,0.20140321265274874,0.8495833333333334,0.10725718407339214
A1-Legacy-Once,all,history_length,1-2,12,618,51.5,0.9030555555555555,0.12234778903389086,0.9313127345308762,0.09928515797872045,0.9030555555555555,0.12234778903389086
A1-Legacy-Once,all,history_length,11-20,12,1857,154.75,0.8431298053434132,0.034265250198845486,0.8387778083130719,0.04349032139774383,0.8438162676678066,0.03382717415489906
A1-Legacy-Once,all,history_length,21+,12,489,40.75,0.8409042020744147,0.09711689642099827,0.8328915299333769,0.04433672379513132,0.8294714927693652,0.09223411973321353
A1-Legacy-Once,all,history_length,3-5,12,927,77.25,0.8485185185185186,0.11984097518829506,0.8186818887273343,0.1312009658685261,0.849675925925926,0.11767993323150823
A1-Legacy-Once,all,history_length,6-10,12,1485,123.75,0.8568253968253968,0.07688792876859807,0.8038908594140809,0.09364807130106186,0.856031746031746,0.0778921399118204
A1-Legacy-Once,all,stage,1,12,726,60.5,0.8179292929292928,0.06847605118334295,0.8680428578155851,0.04445753543042004,0.8179292929292928,0.06847605118334295
A1-Legacy-Once,all,stage,2,12,4191,349.25,0.8587235350664874,0.0691589393907588,0.8607860308142317,0.06279131968749031,0.8576899012012774,0.06862481384802402
A1-Legacy-Once,all,stage,3,12,768,64.0,0.8631965485853939,0.04235324257671388,0.8944506514727103,0.03640851421472351,0.8631965485853939,0.04235324257671388
A1-Legacy-Once,all,active_tail,False,12,1740,145.0,0.8432596217732468,0.020926190074010028,0.8162744710179544,0.03128971713663509,0.8421567550429393,0.02137775484630108
A1-Legacy-Once,all,active_tail,True,12,3945,328.75,0.8587243981359102,0.07668567473074582,0.8705111139231811,0.04249703646735429,0.8580641588588325,0.07622424196795959
