model,participant,seed,condition,grouping,group,n,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
M2-Direct-RealOrder,A,42,fault,history_length,3-5,27,0.4444444444444444,0.5654761904761905,0.4074074074074074,0.5226190476190475
M2-Direct-RealOrder,A,42,fault,history_length,6-10,30,0.7666666666666667,0.8247619047619047,0.7666666666666667,0.8247619047619048
M2-Direct-RealOrder,A,42,fault,stage,1,22,0.8181818181818182,0.8484848484848484,0.8181818181818182,0.8484848484848484
M2-Direct-RealOrder,A,42,fault,stage,2,98,0.6428571428571429,0.6162092669235527,0.6326530612244898,0.6217838827838829
M2-Direct-RealOrder,A,42,fault,stage,3,17,0.9411764705882353,0.9,0.9411764705882353,0.9
M2-Direct-RealOrder,A,42,fault,active_tail,False,57,0.8245614035087719,0.7733098177542622,0.8245614035087719,0.7902319902319902
M2-Direct-RealOrder,A,42,fault,active_tail,True,80,0.625,0.6510971055088701,0.6125,0.658835005574136
M2-Direct-RealOrder,A,42,fault,tail_reason,active_incomplete_atomic_prefix,80,0.625,0.6510971055088701,0.6125,0.658835005574136
M2-Direct-RealOrder,A,42,fault,tail_reason,atomic_sequence_complete,8,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,fault,tail_reason,empty_history,9,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,fault,tail_reason,latest_node_not_atomic,23,0.782608695652174,0.8111111111111111,0.782608695652174,0.8111111111111111
M2-Direct-RealOrder,A,42,fault,tail_reason,observed_atomic_nodes_not_prefix,8,0.75,0.9166666666666666,0.75,0.9166666666666666
M2-Direct-RealOrder,A,42,fault,tail_reason,repeated_node_fallback,9,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.625
M2-Direct-RealOrder,A,42,all,exact_full_prefix,False,157,0.7834394904458599,0.7545768341616093,0.7834394904458599,0.758935675798421
M2-Direct-RealOrder,A,42,all,exact_full_prefix,True,274,0.7737226277372263,0.7642374211582703,0.7700729927007299,0.7710164827254636
M2-Direct-RealOrder,A,42,all,local_suffix_1,insufficient,24,1.0,1.0,1.0,1.0
M2-Direct-RealOrder,A,42,all,local_suffix_1,seen,407,0.7641277641277642,0.7777267586866388,0.7616707616707616,0.7856076713821879
M2-Direct-RealOrder,A,42,all,local_suffix_2,insufficient,48,0.875,0.8045918367346939,0.875,0.8045918367346939
M2-Direct-RealOrder,A,42,all,local_suffix_2,seen,372,0.7661290322580645,0.7831715376745942,0.7634408602150538,0.7917550024976215
